Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
War for the Planet of the Apes ,146880162,343839601,490719763,action adventure drama scifi thriller,2017
X-Men: First Class ,146408305,206208385,352616690,action adventure scifi,2011
Paul Blart: Mall Cop ,146336178,37012251,183348429,action comedy crime family,2009
True Lies ,146282411,232600000,378882411,action comedy thriller,1994
Lilo & Stitch ,145794338,127349813,273144151,adventure animation comedy drama family fantasy scifi,2002
The Santa Clause ,145539357,45000000,190539357,comedy drama family fantasy,1994
The Meg ,145443742,384994536,530438278,action horror scifi thriller,2018
American Pie 2 ,145103595,142450000,287553595,comedy,2001
Taken ,145000989,81836771,226837760,action crime thriller,2008
The Great Gatsby ,144840419,208801855,353642274,drama romance,2013
"I, Robot ",144801023,208332875,353133898,action mystery scifi thriller,2004
Lethal Weapon 3 ,144731527,177000000,321731527,action crime thriller,1992
The Fast and the Furious ,144533925,62771584,207305509,action crime thriller,2001
Mamma Mia! ,144169664,467088155,611257819,comedy musical romance,2008
Doctor Dolittle ,144156605,150300000,294456605,comedy family fantasy,1998
Pokémon Detective Pikachu ,144105346,289409488,433514834,action adventure comedy family mystery scifi,2019
Rio ,143619809,340246709,483866518,adventure animation comedy family music musical,2011
Kung Fu Panda 3 ,143528619,377642206,521170825,action adventure animation comedy family fantasy,2016
Juno ,143495265,88877416,232372681,comedy drama,2007
Marley & Me ,143153751,112589342,255743093,comedy drama family,2008
The Smurfs ,142614158,421135165,563749323,adventure animation comedy family fantasy,2011
Once Upon a Time... In Hollywood ,142502728,232063026,374565754,comedy drama,2019
xXx ,142109382,135339000,277448382,action adventure thriller,2002
The Chronicles of Narnia: Prince Caspian ,141621490,278044078,419665568,action adventure family fantasy,2008
Pocahontas ,141579773,204500000,346079773,adventure animation drama family musical romance,1995
A Few Good Men ,141340178,101900000,243240178,drama thriller,1992
Slumdog Millionaire ,141319928,237090614,378410542,drama romance,2008
Rush Hour ,141186864,103534200,244721064,action comedy crime thriller,1998
The Blair Witch Project ,140539099,108100000,248639099,horror mystery,1999
Deep Impact ,140464664,209000000,349464664,action drama scifi thriller,1998
Shazam! ,140371656,225600000,365971656,action adventure comedy fantasy,2019
Ocean's Eight ,140218711,157500000,297718711,action comedy crime thriller,2018
Rush Hour 3 ,140125968,117971154,258097122,action comedy crime thriller,2007
Stuart Little ,140035367,160100000,300135367,adventure comedy family fantasy,1999
Taken 2 ,139854287,236298168,376152455,action crime thriller,2012
Sister Act ,139605150,92000000,231605150,comedy family music,1992
The Matrix Revolutions ,139313948,288030377,427344325,action scifi,2003
The Santa Clause 2 ,139236327,33618738,172855065,comedy family fantasy,2002
The King's Speech ,138797449,288576868,427374317,biography drama history,2010
Cheaper by the Dozen ,138614544,51924086,190538630,comedy family,2003
Bad Boys II ,138608444,134731112,273339556,action comedy crime thriller,2003
Platoon ,138530565,15067,138545632,drama war,1986
21 Jump Street ,138447667,63137661,201585328,action comedy crime,2012
Good Will Hunting ,138433435,87500000,225933435,drama romance,1997
Split ,138291365,140163052,278454417,horror thriller,2016
A Christmas Carol ,137855863,187430783,325286646,adventure animation comedy drama family fantasy,2009
Dinosaur ,137748063,212074702,349822765,adventure animation drama family fantasy,2000
Ready Player One ,137690172,445203499,582893671,action adventure scifi,2018
The Conjuring ,137400141,182890848,320290989,horror mystery thriller,2013
Click ,137355633,103329693,240685326,comedy drama fantasy romance,2006
The Green Mile ,136801374,150000000,286801374,crime drama fantasy mystery,1999
Ransom ,136492681,173000000,309492681,action crime thriller,1996
Godzilla ,136314294,242700000,379014294,action scifi thriller,1998
Argo ,136025503,96300000,232325503,biography drama thriller,2012
Anger Management ,135645823,60100000,195745823,comedy,2003
Chicken Little ,135386665,179046172,314432837,adventure animation comedy family fantasy scifi,2005
Teenage Mutant Ninja Turtles ,135265915,66700000,201965915,action adventure comedy family scifi,1990
Patch Adams ,135026902,67266000,202292902,biography comedy drama romance,1998
The Godfather ,134966411,111154575,246120986,crime drama,1972
Ride Along ,134938200,19530702,154468902,action comedy crime,2014
The Incredible Hulk ,134806913,129964083,264770996,action adventure scifi,2008
Live Free or Die Hard ,134529403,253626608,388156011,action thriller,2007
Wanted ,134508551,207954512,342463063,action crime thriller,2008
Identity Thief ,134506920,39458090,173965010,comedy crime drama,2013
Superman ,134451603,166000000,300451603,action adventure scifi,1978
The Rock ,134069511,200993110,335062621,action adventure thriller,1996
Mission: Impossible III ,134029801,264449696,398479497,action adventure thriller,2006
Grown Ups 2 ,133668525,113315753,246984278,comedy,2013
Troy ,133378256,364031596,497409852,drama history,2004
Angels & Demons ,133375846,352554970,485930816,action mystery thriller,2009
Alvin and the Chipmunks: Chipwrecked ,133110742,209584693,342695435,adventure animation comedy family fantasy music musical,2011
Bringing Down the House ,132716677,32013002,164729679,comedy,2003
The Wolverine ,132556852,282271394,414828246,action scifi,2013
Wonder ,132422809,173786480,306209289,drama family,2017
The Departed ,132384315,159081058,291465373,crime drama thriller,2006
Hulk ,132177234,113107931,245285165,action scifi,2003
Silver Linings Playbook ,132092958,104319495,236412453,comedy drama romance,2012
Minority Report ,132072926,226300000,358372926,action crime mystery scifi thriller,2002
Fantastic 4: Rise of the Silver Surfer ,131921738,169991393,301913131,action adventure fantasy scifi,2007
The Last Airbender ,131772187,187941694,319713881,action adventure family fantasy,2010
Rio 2 ,131538435,367242682,498781117,adventure animation comedy family music musical,2014
Lara Croft: Tomb Raider ,131168070,143535270,274703340,action adventure fantasy thriller,2001
The Silence of the Lambs ,130742922,142000000,272742922,crime drama horror thriller,1991
The Flintstones ,130531208,211100000,341631208,comedy family fantasy,1994
Lethal Weapon 4 ,130444603,155000000,285444603,action crime thriller,1998
Get Smart ,130319208,100366245,230685453,action adventure comedy,2008
The Divergent Series: Insurgent ,130179072,166823455,297002527,action adventure scifi thriller,2015
The Peanuts Movie ,130178411,116054702,246233113,adventure animation comedy drama family,2015
Transformers: The Last Knight ,130168683,475256474,605425157,action adventure scifi,2017
American Gangster ,130164645,139590785,269755430,biography crime drama,2007
American Beauty ,130096601,226200000,356296601,drama,1999
The Ring ,129128133,120220800,249348933,horror mystery,2002
The Nutty Professor ,128814019,145147000,273961019,comedy romance scifi,1996
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,128505958,134046935,262552893,comedy,2006
Ghostbusters ,128350574,100796935,229147509,action comedy fantasy scifi,2016
Kingsman: The Secret Service ,128261724,286089822,414351546,action adventure comedy thriller,2014
Robots ,128200012,134311478,262511490,adventure animation comedy family romance scifi,2005
"Crouching Tiger, Hidden Dragon ",128078872,85446864,213525736,action adventure drama fantasy romance,2000
Shutter Island ,128012934,166792763,294805697,mystery thriller,2010
Into the Woods ,128002372,84900000,212902372,adventure comedy drama fantasy musical,2014
Rocky IV ,127873716,172600000,300473716,drama sport,1985
Enchanted ,127807262,212680574,340487836,adventure animation comedy family fantasy musical romance,2007
The Curious Case of Benjamin Button ,127509326,208293460,335802786,drama fantasy romance,2008
Central Intelligence ,127440871,89531672,216972543,action comedy crime,2016
Anchorman 2: The Legend Continues ,127352707,46297224,173649931,comedy,2013
Sweet Home Alabama ,127223418,53399006,180622424,comedy romance,2002
Bumblebee ,127195589,340794056,467989645,action adventure scifi,2018
Dumb and Dumber ,127175374,120100000,247275374,comedy,1994
2 Fast 2 Furious ,127154901,109195760,236350661,action crime thriller,2003
My Best Friend's Wedding ,127120029,172168576,299288605,comedy drama romance,1997
Super 8 ,127004179,133091807,260095986,action mystery scifi thriller,2011
The World Is Not Enough ,126943684,234888716,361832400,action adventure thriller,1999
Sleepless in Seattle ,126808165,101119000,227927165,comedy drama romance,1993
Lucy ,126663600,332200000,458863600,action scifi thriller,2014
The Legend of Tarzan ,126643061,230057296,356700357,action adventure drama fantasy romance,2016
Bee Movie ,126631277,166883059,293514336,adventure animation comedy drama family,2007
Prometheus ,126477084,276877385,403354469,adventure mystery scifi,2012
Safe House ,126373434,81702771,208076205,action thriller,2012
Mr. Deeds ,126293452,44976083,171269535,comedy romance,2002
The Truman Show ,125618201,138500000,264118201,comedy drama,1998
Erin Brockovich ,125595205,130676081,256271286,biography drama,2000
Ocean's Twelve ,125544280,237200000,362744280,crime thriller,2004
Terminator Salvation ,125322469,246030532,371353001,action scifi,2009
Charlie's Angels ,125305545,138800000,264105545,action adventure comedy crime thriller,2000
Tomorrow Never Dies ,125304276,207706792,333011068,action adventure thriller,1997
Ghostbusters: Afterlife ,125278330,66100000,191378330,adventure comedy fantasy scifi,2021
Lone Survivor ,125095601,29707311,154802912,action biography drama war,2013
Sully ,125070033,115727590,240797623,biography drama,2016
The Vow ,125014030,71100540,196114570,drama romance,2012
Life of Pi ,124987023,484029542,609016565,adventure drama fantasy,2012
The Fault in Our Stars ,124872350,182294484,307166834,drama romance,2014
Cloudy with a Chance of Meatballs ,124870275,118135851,243006126,adventure animation comedy drama family fantasy scifi,2009
The Devil Wears Prada ,124740460,201965655,326706115,comedy drama,2006
Something's Gotta Give ,124728738,140600000,265328738,comedy drama romance,2003
Traffic ,124115725,83400000,207515725,crime drama thriller,2000
The Birdcage ,124060553,61200000,185260553,comedy,1996
City Slickers ,124033791,55000000,179033791,comedy western,1991
Rango ,123477607,122246996,245724603,action adventure animation comedy family western,2011
Nutty Professor II: The Klumps ,123309890,43030000,166339890,comedy romance scifi,2000
The Good Dinosaur ,123087120,209120551,332207671,adventure animation comedy drama family,2015
G.I. Joe: Retaliation ,122523060,253217645,375740705,action adventure scifi thriller,2013
Clear and Present Danger ,122187717,93700000,215887717,action crime drama thriller,1994
The Hunt for Red October ,122012643,78500000,200512643,action adventure thriller,1990
The Bodyguard ,122006740,289000000,411006740,action drama music romance thriller,1992
Wayne's World ,121697323,61400000,183097323,comedy music,1992
The Bourne Identity ,121661683,92372541,214034224,action mystery thriller,2002
Free Guy ,121626598,209877159,331503757,action adventure comedy fantasy scifi,2021
Superbad ,121463226,49349300,170812526,comedy,2007
Speed ,121248145,229200000,350448145,action adventure thriller,1994
50 First Dates ,120908074,77612860,198520934,comedy drama romance,2004
Mamma Mia! Here We Go Again ,120634935,281619449,402254384,comedy musical romance,2018
Inglourious Basterds ,120540719,200917028,321457747,adventure drama war,2009
Seabiscuit ,120277854,28058591,148336445,drama history sport,2003
Van Helsing ,120177084,179980554,300157638,action adventure fantasy thriller,2004
Four Christmases ,120146040,43966681,164112721,comedy drama romance,2008
I Now Pronounce You Chuck & Larry ,120059556,67074561,187134117,comedy romance,2007
The Mask ,119938730,231644677,351583407,action comedy crime fantasy,1994
Cloudy with a Chance of Meatballs 2 ,119793567,154532382,274325949,adventure animation comedy drama family fantasy scifi,2013
Hook ,119654823,181200000,300854823,adventure comedy family fantasy,1991
Walk the Line ,119519402,67278584,186797986,biography drama music romance,2005
G-Force ,119436770,173381128,292817898,action adventure animation comedy family fantasy scifi,2009
Total Recall ,119412921,141905000,261317921,action adventure scifi,1990
The Other Guys ,119219978,51238944,170458922,action comedy crime,2010
Fahrenheit 9/11 ,119194771,103252111,222446882,documentary drama war,2004
Back to the Future Part II ,119000002,213500000,332500002,adventure comedy scifi,1989
The Sum of All Fears ,118907036,75014336,193921372,action drama thriller war,2002
Hairspray ,118871849,84681462,203553311,comedy drama musical romance,2007
The Break-Up ,118703275,86964935,205668210,comedy drama romance,2006
A Series of Unfortunate Events ,118634549,92833686,211468235,adventure comedy family fantasy,2004
Blades of Glory ,118594548,27115799,145710347,comedy sport,2007
Salt ,118311368,175191986,293503354,action thriller,2010
Basic Instinct ,117727224,235200000,352927224,drama mystery thriller,1992
Now You See Me ,117723989,234000000,351723989,crime mystery thriller,2013
Ford v Ferrari ,117624357,107883853,225508210,action biography drama sport,2019
Big Momma's House ,117559438,56400000,173959438,action comedy crime,2000
Die Hard 2 ,117540947,122490327,240031274,action thriller,1990
Horrible Bosses ,117538559,92300000,209838559,comedy crime,2011
The Nun ,117450119,248101575,365551694,horror mystery thriller,2018
Jackass 3D ,117229692,54456100,171685792,action comedy documentary,2010
Ocean's Thirteen ,117154724,194157900,311312624,crime thriller,2007
Jungle Cruise ,116987516,103901930,220889446,action adventure comedy fantasy,2021
S.W.A.T. ,116934650,90790989,207725639,action adventure crime thriller,2003
The Wolf of Wall Street ,116900694,275100000,392000694,biography comedy crime drama,2013
8 Mile ,116750901,126124177,242875078,drama music,2002
Double Jeopardy ,116741558,61100000,177841558,crime drama mystery thriller,1999
Lee Daniels' The Butler ,116632095,60681700,177313795,biography drama,2013
Green Lantern ,116601172,103250000,219851172,action adventure scifi,2011
Notting Hill ,116089678,247800000,363889678,comedy drama romance,1999
You've Got Mail ,115821495,135000000,250821495,comedy drama romance,1998
Ghost Rider ,115802596,112935797,228738393,action fantasy thriller,2007
Remember the Titans ,115719751,21051932,136771683,biography drama sport,2000
Creed II ,115715889,98500000,214215889,drama sport,2018
District 9 ,115646235,95242715,210888950,action scifi thriller,2009
Unbroken ,115637895,45821402,161459297,action biography drama sport war,2014
Peter Rabbit ,115253424,236242642,351496066,adventure animation comedy crime drama family fantasy,2018
Girls Trip ,115171585,25380774,140552359,adventure comedy drama,2017
Dumbo ,114766307,238518314,353284621,adventure family fantasy,2019
Fifty Shades Darker ,114581250,266964596,381545846,drama romance,2017
Dodgeball: A True Underdog Story ,114326736,54096491,168423227,comedy sport,2004
The Village ,114197520,142500000,256697520,drama mystery thriller,2004
Bolt ,114053579,195926415,309979994,adventure animation comedy crime drama family scifi,2008
Maleficent: Mistress of Evil ,113929605,377800484,491730089,adventure family fantasy,2019
Wild Wild West ,113804681,108300000,222104681,action comedy scifi western,1999
Night at the Museum: Secret of the Tomb ,113746621,249458014,363204635,adventure comedy family fantasy,2014
Magic Mike ,113721571,54018390,167739961,comedy drama,2012
The Addams Family ,113502426,78000000,191502426,comedy fantasy,1991
The Patriot ,113330342,101964000,215294342,action drama history war,2000
Bad Moms ,113257297,70678777,183936074,comedy,2016
The Bourne Legacy ,113203870,162940880,276144750,action adventure thriller,2012
The Pacifier ,113086868,85550000,198636868,action comedy drama family,2005
Dr. Dolittle 2 ,112952899,63151445,176104344,comedy family fantasy,2001
It's Complicated ,112735375,106368280,219103655,comedy drama romance,2009
Spy Kids ,112719001,35215179,147934180,action adventure comedy family scifi,2001
Face/Off ,112276146,133400000,245676146,action crime scifi thriller,1997
The Hangover Part III ,112200072,249800000,362000072,comedy crime,2013
Twins ,111938388,104676000,216614388,comedy crime,1988
Spy Kids 3-D: Game Over ,111761982,85339696,197101678,action adventure comedy family scifi,2003
Enemy of the State ,111549836,139299953,250849789,action thriller,1998
Mr. Peabody & Sherman ,111506430,164191609,275698039,adventure animation comedy family fantasy history scifi,2014
The Last Samurai ,111127263,343500000,454627263,action drama,2003
Glass ,111048468,135950571,246999039,drama scifi thriller,2019
Spy ,110825712,124840507,235666219,action comedy,2015
Sing 2 ,110540715,82129000,192669715,adventure animation comedy family music musical,2021
Tropic Thunder ,110515313,85187650,195702963,action comedy war,2008
Godzilla: King of the Monsters ,110500138,276100000,386600138,action adventure fantasy scifi,2019
Valentine's Day ,110485654,106000000,216485654,comedy romance,2010
The Grudge ,110359362,76921753,187281115,horror mystery thriller,2004
Fun with Dick and Jane ,110332737,94349162,204681899,comedy crime,2005
Freaky Friday ,110230332,50616000,160846332,comedy family fantasy music romance,2003
Trainwreck ,110212700,30583093,140795793,comedy drama romance,2015
Bedtime Stories ,110101975,102772889,212874864,adventure comedy family fantasy romance scifi,2008
Scary Movie 3 ,110003217,110670000,220673217,comedy,2003
Creed ,109767581,63800000,173567581,action drama sport,2015
Star Trek IV: The Voyage Home ,109713132,109713132,109713132,action adventure comedy scifi,1986
The 40-Year-Old Virgin ,109449237,67929408,177378645,comedy romance,2005
Couples Retreat ,109204945,62639895,171844840,comedy,2009
A Time to Kill ,108766007,43500000,152266007,crime drama thriller,1996
Black Hawk Down ,108638745,64350906,172989651,action drama history war,2001
Terms of Endearment ,108423489,260,108423749,comedy drama,1983
Ace Ventura: When Nature Calls ,108385533,104000000,212385533,adventure comedy crime,1995
The Upside ,108252517,17603663,125856180,comedy drama,2017
The Princess Diaries ,108248956,57086197,165335153,comedy family romance,2001
Superman II ,108185706,108185706,108185706,action adventure scifi,1980
Little Women ,108101214,108500000,216601214,drama romance,2019
Hop ,108085305,75868840,183954145,adventure animation comedy family fantasy,2011
Pulp Fiction ,107928762,106000000,213928762,crime drama,1994
Paranormal Activity ,107918810,85436990,193355800,horror mystery,2007
Baby Driver ,107825862,119119225,226945087,action crime drama music thriller,2017
A League of Their Own ,107533928,24906141,132440069,comedy drama sport,1992
Epic ,107518682,160907952,268426634,action adventure animation family fantasy mystery,2013
Watchmen ,107509799,77873014,185382813,action drama mystery scifi,2009
The Angry Birds Movie ,107509366,244824563,352333929,action adventure animation comedy family,2016
Batman & Robin ,107353792,130881927,238235719,action scifi,1997
Dune ,107344390,289700000,397044390,action adventure drama scifi,2021
Captain Phillips ,107100855,111690956,218791811,action biography crime drama thriller,2013
Black Swan ,106954678,222443368,329398046,drama thriller,2010
Analyze This ,106885658,70000000,176885658,comedy crime,1999
Chicken Run ,106834564,118000000,224834564,adventure animation comedy drama family,2000
Miss Congeniality ,106807667,105935053,212742720,action comedy crime romance,2000
Indecent Proposal ,106614059,160000000,266614059,drama romance,1993
300: Rise of an Empire ,106580051,231000000,337580051,action drama,2014
GoldenEye ,106429941,245764093,352194034,action adventure thriller,1995
The Italian Job ,106128601,69941570,176070171,action crime thriller,2003
How to Lose a Guy in 10 Days ,105813373,71689014,177502387,comedy romance,2003
The Lego Movie 2: The Second Part ,105806508,86500000,192306508,adventure animation comedy family fantasy scifi,2019
The First Wives Club ,105489203,76000000,181489203,comedy,1996
Robin Hood ,105269730,216400011,321669741,action adventure drama history,2010
Interview with the Vampire: The Vampire Chronicles ,105264608,118400000,223664608,drama fantasy horror,1994
George of the Jungle ,105263257,69200000,174463257,action adventure comedy family romance,1997
Hustlers ,104963598,52600000,157563598,comedy crime drama,2019
Pitch Perfect 3 ,104897530,80502815,185400345,comedy music,2017
Phenomenon ,104636382,47400000,152036382,drama fantasy romance scifi,1996
American Wedding ,104565114,128157821,232722935,comedy,2003
Road to Perdition ,104454762,76546716,181001478,crime drama thriller,2002
The Princess and the Frog ,104400899,162644866,267045765,adventure animation comedy family fantasy musical romance,2009
The Chronicles of Narnia: The Voyage of the Dawn Treader ,104386950,311299267,415686217,adventure family fantasy,2010
Daddy Day Care ,104297061,60136806,164433867,comedy family,2003
Daddy's Home 2 ,104029443,76584381,180613824,comedy,2017
Paranormal Activity 3 ,104028807,103011037,207039844,horror mystery,2011
Journey 2: The Mysterious Island ,103860290,231400000,335260290,action adventure comedy family fantasy scifi,2012
The Mule ,103804407,71000000,174804407,crime drama thriller,2018
Dick Tracy ,103738726,59000000,162738726,action comedy crime music romance thriller,1990
Rise of the Guardians ,103412758,203528912,306941670,action adventure animation comedy drama family fantasy,2012
Dreamgirls ,103365956,52064379,155430335,drama music musical,2006
Independence Day: Resurgence ,103144286,286537649,389681935,action adventure scifi,2016
The Expendables ,103068524,171401870,274470394,action adventure thriller,2010
Scream ,103046663,70000000,173046663,horror mystery,1996
Just Go with It ,103028109,111917482,214945591,comedy romance,2011
Murder on the Orient Express ,102826543,249967538,352794081,crime drama mystery,2017
The General's Daughter ,102705852,47000000,149705852,crime drama mystery thriller,1999
The Aviator ,102610330,111109612,213719942,biography drama,2004
American Pie ,102561004,132922000,235483004,comedy,1999
Daredevil ,102543518,76636200,179179718,action crime,2003
The Girl with the Dragon Tattoo ,102515793,130101637,232617430,crime drama mystery thriller,2011
The Mummy: Tomb of the Dragon Emperor ,102491776,300958054,403449830,action fantasy horror war,2008
The Conjuring 2 ,102470008,219318211,321788219,horror mystery thriller,2016
The Maze Runner ,102427862,245891999,348319861,action mystery scifi thriller,2014
In the Line of Fire ,102314823,74682345,176997168,action crime drama thriller,1993
Annabelle: Creation ,102092201,204423683,306515884,horror mystery thriller,2017
The Equalizer 2 ,102084362,88315795,190400157,action crime thriller,2018
Bad Grandpa ,102003019,49823528,151826547,comedy,2013
Pacific Rim ,101802906,309200000,411002906,action adventure scifi,2013
Journey to the Center of the Earth ,101704370,142528318,244232688,action adventure family fantasy scifi,2008
Gone in 60 Seconds ,101648571,135553728,237202299,action crime thriller,2000
Maverick ,101631272,81400000,183031272,action adventure comedy thriller western,1994
Sleeping with the Enemy ,101599005,73400000,174999005,drama thriller,1991
The Equalizer ,101530738,90800000,192330738,action crime thriller,2014
This Is the End ,101470202,24571120,126041322,comedy,2013
Eagle Eye ,101440743,77326640,178767383,action mystery thriller,2008
The Prince of Egypt ,101413188,117200000,218613188,adventure animation drama family fantasy musical,1998
Scream 2 ,101363301,71000000,172363301,horror mystery,1997
Eraser ,101295562,141000000,242295562,action crime thriller,1996
Noah ,101200044,258000000,359200044,action adventure drama,2014
Unforgiven ,101157447,58000000,159157447,drama western,1992
The Cat in the Hat ,101149285,32811256,133960541,adventure comedy family fantasy,2003
Con Air ,101117573,122894661,224012234,action crime thriller,1997
Sleepy Hollow ,101071502,105000000,206071502,fantasy horror mystery,1999
Rampage ,101028233,327000000,428028233,action adventure scifi,2018
Collateral ,101005703,119234222,220239925,action crime drama thriller,2004
Contact ,100920329,70200000,171120329,drama mystery scifi thriller,1997
Charlie's Angels: Full Throttle ,100830111,158345677,259175788,action adventure comedy crime,2003
The Pelican Brief ,100768056,94500000,195268056,crime drama mystery thriller,1993
The Addams Family ,100723831,103060014,203783845,animation comedy family fantasy horror,2019
Vanilla Sky ,100618344,102769997,203388341,fantasy mystery romance scifi thriller,2001
Godzilla vs. Kong ,100563133,367300000,467863133,action scifi thriller,2021
Arrival ,100546139,102842047,203388186,drama scifi,2016
Due Date ,100539043,111241781,211780824,comedy drama,2010
Jumanji ,100499940,162322000,262821940,adventure comedy family fantasy,1995
The Rugrats Movie ,100494675,40400000,140894675,adventure animation comedy drama family musical,1998
Million Dollar Baby ,100492203,116271443,216763646,drama sport,2004
A Wrinkle in Time ,100478608,32197256,132675864,adventure family fantasy scifi,2018
Step Brothers ,100468793,27639418,128108211,comedy,2008
Evan Almighty ,100462298,73978426,174440724,comedy family fantasy,2007
Fifty Shades Freed ,100407760,271580078,371987838,drama romance thriller,2018
Casper ,100328194,187600000,287928194,comedy family fantasy,1995
Shakespeare in Love ,100317794,189000000,289317794,comedy drama history romance,1998
Bad Teacher ,100292856,115904636,216197492,comedy romance,2011
Yogi Bear ,100246011,103263363,203509374,adventure animation comedy family,2010
Cowboys & Aliens ,100240551,74581774,174822325,action scifi thriller western,2011
Kingsman: The Golden Circle ,100234838,310667824,410902662,action adventure comedy crime thriller,2017
Edge of Tomorrow ,100206256,270335000,370541256,action adventure scifi,2014
The Hunchback of Notre Dame ,100138851,225200000,325338851,animation drama family musical romance,1996
Se7en ,100125643,227207916,327333559,crime drama mystery thriller,1995
You Don't Mess with the Zohan ,100018837,104294563,204313400,comedy,2008
Passengers ,100014699,203129453,303144152,drama romance scifi thriller,2016
Die Hard with a Vengeance ,100012499,266089167,366101666,action adventure thriller,1995
Christopher Robin ,99215042,98529335,197744377,adventure animation comedy drama family fantasy,2018
Hercules ,99112101,153600000,252712101,adventure animation comedy family fantasy musical romance,1997
Olympus Has Fallen ,98925640,71344561,170270201,action thriller,2013
The Green Hornet ,98780042,129037206,227817248,action comedy crime,2011
Date Night ,98711404,53552476,152263880,comedy crime romance thriller,2010
Meet the Robinsons ,97822171,71510863,169333034,adventure animation comedy drama family fantasy scifi,2007
Yes Man ,97690976,125550661,223241637,comedy romance,2008
Sausage Party ,97685686,43019636,140705322,adventure animation comedy fantasy,2016
Inspector Gadget ,97403112,37000000,134403112,action adventure comedy crime family scifi,1999
Public Enemies ,97104620,117000000,214104620,action biography crime drama history,2009
The Social Network ,96962694,127957681,224920375,biography drama,2010
Schindler's List ,96898818,225262427,322161245,biography drama history,1993
Downton Abbey ,96854135,96941361,237860050,drama romance,2019
The Others ,96522687,113424350,209947037,horror mystery thriller,2001
Legally Blonde ,96520674,45254005,141774679,comedy romance,2001
Panic Room ,96397334,100682212,197079546,crime drama thriller,2002
Rocketman ,96368160,98952240,195320400,biography drama musical,2019
Zero Dark Thirty ,95720716,37100000,132820716,drama history thriller war,2012
Norbit ,95673607,64140883,159814490,comedy romance,2007
Cold Mountain ,95636509,77377000,173013509,adventure drama history romance war,2003
Sex and the City 2 ,95347692,195397363,290745055,comedy drama romance,2010
Michael ,95318203,24400000,119718203,comedy drama fantasy,1996
The Princess Diaries 2: Royal Engagement ,95170481,39564000,134734481,comedy family romance,2004
42 ,95020213,2450488,97470701,biography drama sport,2013
Unbreakable ,95011339,153106782,248118121,drama mystery scifi thriller,2000
The Book of Eli ,94835059,62272696,157107755,action adventure drama thriller,2010
"10,000 BC ",94784201,175000000,269784201,action adventure drama fantasy history,2008
Beverly Hills Chihuahua ,94514402,54778086,149292488,adventure comedy drama family romance,2008
Saturday Night Fever ,94213184,142900000,237113184,drama music,1977
Julie & Julia ,94125426,35415096,129540522,biography drama romance,2009
The Mask of Zorro ,94095523,156193000,250288523,action adventure comedy romance thriller western,1998
Maid in Manhattan ,94011225,60895468,154906693,comedy drama romance,2002
He's Just Not That Into You ,93953653,84912505,178866158,comedy drama romance,2009
Master and Commander: The Far Side of the World ,93927920,117694615,211622535,action adventure drama war,2003
Flight ,93772375,68000000,161772375,drama thriller,2012
The Fighter ,93617009,35573860,129190869,action biography drama sport,2010
America's Sweethearts ,93607673,44700000,138307673,comedy romance,2001
Lady and the Tramp ,93602326,331068,93933394,adventure animation comedy family musical romance,1955
The Bucket List ,93466502,81906000,175372502,adventure comedy drama,2007
Tomorrowland ,93436322,115599346,209035668,action adventure family fantasy mystery scifi,2015
The Magnificent Seven ,93432655,68927981,162360636,action adventure western,2016
Cats & Dogs ,93385515,107301977,200687492,action comedy family fantasy,2001
Two Weeks Notice ,93354851,105688620,199043471,comedy romance,2002
Red Dragon ,93149898,116046400,209196298,crime drama thriller,2002
Elysium ,93050117,193090583,286140700,action drama scifi,2013
Flubber ,92977226,85000000,177977226,comedy family scifi,1997
Encanto ,92661715,123560300,216222015,animation comedy drama family fantasy musical,2021
The Town ,92186262,61839874,154026136,crime drama thriller,2010
Non-Stop ,92168600,130641000,222809600,action mystery thriller,2014
The Client ,92115211,25500000,117615211,crime drama mystery thriller,1994
Blade Runner 2049 ,92054159,167280389,259334548,action drama mystery scifi thriller,2017
John Wick: Chapter 2 ,92029184,79518618,171547802,action crime thriller,2017
Star Trek: First Contact ,92027888,54000000,146027888,action adventure drama scifi thriller,1996
Halloween Kills ,92002155,39645000,131647155,horror thriller,2021
Think Like a Man ,91547205,4523302,96070507,comedy romance,2012
Kindergarten Cop ,91457688,110500000,201957688,action comedy crime,1990
Heaven Is for Real ,91443253,10539459,101982712,biography drama family,2014
The Haunting ,91411151,85900000,177311151,fantasy horror mystery thriller,1999
Crimson Tide ,91387195,66000000,157387195,action drama thriller war,1995
Ride Along 2 ,91221830,33386608,124608438,action comedy crime,2016
Stepmom ,91137662,68573131,159710793,comedy drama,1998
The Imitation Game ,91125683,142430025,233555708,biography drama thriller war,2014
Save the Last Dance ,91057006,40649803,131706809,drama music romance,2001
The Scorpion King ,91047077,89583830,180630907,action adventure fantasy,2002
Prince of Persia: The Sands of Time ,90759676,245606000,336365676,action adventure fantasy,2010
Antz ,90757863,81000000,171757863,adventure animation comedy family fantasy,1998
Scary Movie 4 ,90710620,87552000,178262620,comedy,2006
The Game Plan ,90648202,57232341,147880543,comedy family sport,2007
"Me, Myself & Irene ",90570999,58700000,149270999,comedy,2000
High School Musical 3: Senior Year ,90559416,162349761,252909177,comedy drama family music musical romance,2008
Madea Goes to Jail ,90508336,90508336,90508336,comedy crime drama,2009
